relative_time,AccX,AccY,AccZ
0,,4.7381253242,
1,-0.2298433632,,9.3349924088
23,,,
70,-0.137666598,5.1846437454,7.6387004852
104,,,
135,-0.4860229492,5.0613422394,8.2204914093
184,,,
194,-0.4393360019,5.05894804,7.7703814507
264,,,
268,-0.9911994934,5.1726727486,7.1790137291
325,,5.039794445,
326,-0.9756371975,,8.4994163513
344,,,
394,-1.1073182821,4.8949451447,8.5018100739
424,,,
476,,3.8474822044,
477,-1.9752163887,,9.3134441376
504,,,
531,-2.057816267,3.0705637932,8.1893672943
584,,,
593,-1.3012486696,2.3475148678,8.9411458969
664,,,
672,-2.4744074345,2.242169857,
673,,,8.0014219284
741,,3.8067808151,
742,-1.0151414871,,7.9200191498
744,,,
801,-1.1504138708,4.0102877617,9.5959606171
843,,,
856,-2.7545289993,3.6403837204,7.5369467735
923,,4.6016554832,
924,0.1436520964,,6.8498110771
987,-2.2206220627,4.374206543,8.3210477829
1003,,,
1084,,,
1088,-1.3922282457,5.1475334167,9.7120790482
1121,-0.8930372596,5.8430490494,8.4718828201
1163,,,
1200,0.460883826,5.1451392174,10.4626617432
1244,,,
1278,2.2409727573,6.4451909065,10.5285015106
1321,0.5219359994,3.6332011223,8.9890298843
1323,,,
1387,-2.9269115925,1.7453730106,7.2233066559
1403,,,
1465,,3.1220390797,
1466,0.3615244627,,5.8490347862
1483,,,
1524,,3.9181110859,
1525,2.400187254,,11.1821193695
1564,,,
1599,,6.0657100677,
1600,2.7653028965,,6.3326635361
1644,,,
1664,2.9735984802,5.6024317741,10.4650554657
1723,3.8450880051,5.1044378281,8.567650795
1724,,,
1802,2.4923639297,4.2592849731,9.1087408066
1804,,,
1865,3.3602621555,3.6535518169,8.392873764
1884,,,
1926,4.4615950584,1.4700398445,11.2240171432
1964,,,
1991,,1.7633295059,
1992,2.0470423698,,6.3206925392
2044,,,
2081,5.6467247009,0.3962403834,6.047753334
2133,2.9185318947,4.0054993629,5.2373161316
2144,,,
2199,4.4280762672,3.4093432426,2.6839001179
2224,,,
2278,2.2134394646,3.7553052902,4.0725369453
2304,,,
2335,4.0629601479,2.7341783047,10.460267067
2384,,,
2388,2.940079689,3.5158851147,
2389,,,9.7168674469
2464,,,
2465,3.4584243298,2.2732944489,9.782708168
2531,4.2006268501,0.6141127348,11.5963163376
2544,,,
2603,1.8938134909,-2.0183119774,7.4076600075
2624,,,
2660,3.7840356827,-5.4647655487,5.7676320076
2704,,,
2732,6.1566896439,-7.1981673241,3.6954503059
2783,,,
2798,7.8948802948,-9.5241346359,3.4105403423
2864,,,
2865,13.8013753891,-7.6578540802,2.5210943222
2934,,-8.4910364151,
2935,13.8109521866,,3.5398271084
2943,,,
2995,12.1541652679,-5.5581393242,-0.9241618514
3023,,,
3053,6.7731966972,-12.7335615158,
3054,,,1.5334862471
3103,,,
3120,7.8457989693,-8.6251115799,-2.1057004929
3183,,,
3188,1.6280571222,-12.9310836792,5.2947769165
3253,,-11.4371013641,
3254,0.3040636182,,-0.4836287498
3263,,,
3320,3.1052796841,-8.1319065094,
3321,,,0.3292027414
3343,,,
3387,-0.9864110947,-9.0417022705,2.8419175148
3443,,,
3453,3.6032736301,-2.6396074295,
3454,,,1.3611036539
3520,,0.0502782352,
3521,6.6451067924,,2.3666684628
3523,,,
3587,1.7082629204,-6.99106884,-0.5267243981
3603,,,
3654,12.6808891296,-9.4930095673,-1.7345991135
3683,,,
3720,,-10.1633863449,
3721,3.3626563549,,2.6312277317
3763,,,
3787,3.4991257191,-11.1007165909,3.4368765354
3843,,,
3853,,-9.2763347626,
3854,3.1184477806,,-2.1942858696
3920,,-5.853823185,
3921,7.2089414597,,4.6794672012
3923,,,
3987,1.5107412338,-7.5501151085,0.7900865674
4003,,,
4054,7.5225815773,-6.2728085518,1.7357962132
4084,,,
4120,,-10.5512466431,
4121,0.6655880809,,2.1655554771
4163,,,
4187,11.0659999847,-6.9994487762,1.8950105906
4243,,,
4253,,-4.2173862457,
4254,8.2971057892,,0.0383072272
4320,,-7.0401501656,
4321,6.6953849792,,1.5035586357
4323,,,
4387,,-7.2280950546,
4388,11.0324811935,,-1.5837644339
4404,,,
4454,,-11.2132434845,
4455,5.7053828239,,-1.4053963423
4484,,,
4521,4.6160206795,-10.2411975861,0.8846575022
4564,,,
4587,,-9.447520256,
4588,5.1307740211,,0.9768342972
4644,,,
4654,3.7984008789,-7.688978672,-1.0486603975
4721,1.6531962156,-7.5357499123,1.0031704903
4744,,,
4787,,-5.9400143623,
4788,0.1520318091,,-0.4991910458
4824,,,
4854,,-6.0956373215,
4855,4.0150761604,,-2.6551697254
4904,,,
4921,10.0939540863,-11.4526634216,-4.6112322807
4984,,,
4987,,-8.5891990662,
4988,0.6117185354,,-1.391031146
5054,3.0095114708,-11.1390237808,
5055,,,-0.7338228226
5064,,,
5121,-2.0326771736,-3.6475663185,5.6096143723
5144,,,
5188,2.1236569881,-13.4637928009,2.242169857
5224,,,
5254,,-9.355342865,
5255,6.9779009819,,-0.0945709646
5304,,,
5320,,-9.7396125793,
5321,-1.590947032,,1.839944005
5384,,,
5387,2.4193408489,-8.6789808273,
5388,,,0.8367735147
5454,,-9.0021982193,
5455,0.6236895323,,1.4401123524
5464,,,
5521,1.5478514433,-10.9295310974,1.3706804514
5544,,,
5587,2.8766334057,-12.6605386734,
5588,,,-0.0718260482
5624,,,
