relative_time,DecibelSource,AccX,AccY,AccZ
0,,0.6955155730247498,5.257667064666748,8.573636054992676
2,38.965776834488224,,,
63,,-0.4082113802433014,5.044582843780518,7.453149795532227
82,37.28646634531064,,,
137,,0.29807811975479126,4.855441093444824,7.934384346008301
162,32.35024570155514,,,
208,,2.9867665767669678,4.383783340454102,7.358579158782959
242,33.86413611498195,,,
263,,-0.8475474119186401,1.8974047899246216,4.813542366027832
322,33.6938671290956,,,
329,,,,5.598840713500977
330,,1.845929503440857,0.2717418968677521,
399,,1.6053122282028198,-4.228160381317139,3.24414324760437
402,33.66092138276275,,,
466,,4.614823818206787,-4.508281707763672,-1.5179238319396973
482,32.39308209292438,,,
540,,14.834473609924316,-4.124012470245361,1.9788076877593994
562,34.420812368447436,,,
612,,18.240224838256836,-2.0039467811584473,7.675810813903809
642,34.32431043719906,,,
671,,,-2.0183119773864746,9.988609313964844
672,,20.673931121826172,,
723,33.609905663703195,,,
742,,17.39507293701172,-2.31758713722229,-4.422090530395508
798,,13.183671951293945,-5.740098476409912,1.036689281463623
802,34.47088436168938,,,
876,,8.383296966552734,-5.230133533477783,4.353855609893799
902,34.72572606538979,,,
931,,8.285135269165039,0.6943184733390808,-0.8607155084609985
983,37.88509246881978,,,
997,,4.367023944854736,1.1336544752120972,-1.1635819673538208
1062,38.58862220102064,,,
1072,,5.408501625061035,-2.3247697353363037,-2.1799206733703613
1140,,20.296844482421875,-9.08719253540039,6.936002254486084
1142,42.915663297233095,,,
1207,,,,-2.1068975925445557
1208,,9.342175483703613,-7.860164165496826,
1222,48.205839868778554,,,
1270,,-1.5957354307174683,-20.90377426147461,8.552088737487793
1303,39.910951117697266,,,
1341,,15.151705741882324,3.4548330307006836,-4.042609691619873
1382,50.01339537250638,,,
1401,,12.880805015563965,-5.853823184967041,0.12689268589019775
1462,38.17847689591093,,,
1473,,5.414487361907959,-12.225991249084473,0.2717418968677521
1541,,8.072051048278809,-5.670666694641113,2.1811177730560303
1546,45.1520970221274,,,
1610,,8.210914611816406,-4.541800498962402,0.2968810200691223
1623,37.82441949179582,,,
1674,,9.160215377807617,-5.1152119636535645,5.971138954162598
1703,39.92445752817035,,,
1741,,,-6.205770969390869,7.73207426071167
1742,,9.707290649414062,,
1783,32.58776272102034,,,
1808,,6.118382453918457,-5.009867191314697,-2.871845006942749
1863,36.27529498982475,,,
1875,,9.346963882446289,-4.631583213806152,2.0817582607269287
1942,,4.580107688903809,-1.5969325304031372,2.2433669567108154
1943,35.54026518545903,,,
2009,,8.299500465393066,-1.7357962131500244,1.4484920501708984
2022,32.30850327058,,,
2075,,8.852560997009277,-4.459200859069824,1.1779472827911377
2103,33.18520125930371,,,
2145,,9.497797966003418,-3.9217023849487305,1.2210428714752197
2202,34.07760582622733,,,
2214,,4.431667327880859,-7.321468830108643,3.1304187774658203
2276,,10.595540046691895,-2.8790276050567627,-0.31603461503982544
2282,32.823932911893635,,,
2343,,9.251194953918457,-3.980360269546509,2.3295583724975586
2362,33.643821013925404,,,
2410,,11.313799858093262,-5.212177276611328,-0.12210428714752197
2442,37.92539635724486,,,
2482,,9.66299819946289,-7.605181694030762,2.2601263523101807
2522,47.56529413647342,,,
2544,,3.951629877090454,-5.008669853210449,-1.9572598934173584
2602,44.13158138278359,,,
2610,,,,2.673126220703125
2611,,8.846575736999512,-8.956708908081055,
2677,,8.614337921142578,-4.079719543457031,2.603694438934326
2682,47.75488259493558,,,
2748,,3.1004912853240967,-12.010512351989746,-1.1791443824768066
2762,54.329339865579406,,,
2811,,2.4660277366638184,-12.54561710357666,-1.4389152526855469
2843,52.64921171133637,,,
2878,,5.641936302185059,-8.635885238647461,0.9612720012664795
2923,43.024955722792626,,,
2945,,2.4361002445220947,-8.02416706085205,-0.2298433631658554
3003,51.73309581961631,,,
3012,,0.6380547285079956,4.248510837554932,0.5829881429672241
3063,,0.21667525172233582,-17.203536987304688,1.334767460823059
3083,58.329598232498185,,,
3145,,,,-2.122459888458252
3146,,5.03021764755249,-9.587580680847168,
3163,63.56295897078313,,,
3199,,,,0.1711854189634323
3200,,-1.7046716213226318,-9.66299819946289,
3243,53.75253576976518,,,
3263,,-0.6763619780540466,-8.537723541259766,-1.1971008777618408
3323,49.05821428918451,,,
3346,,-2.3930046558380127,-9.119514465332031,0.5937620401382446
3403,52.88812839360985,,,
3406,,-0.9852139949798584,-8.941145896911621,1.4257471561431885
3463,,-0.5494692921638489,-9.466673851013184,0.43095630407333374
3503,45.24704306720463,,,
3537,,0.5722141861915588,-9.837775230407715,-0.17238251864910126
3583,48.37295578150151,,,
3610,,-1.2114660739898682,-11.398794174194336,0.8918401598930359
3663,43.72717662128633,,,
3682,,-2.1368250846862793,-11.349713325500488,-2.1045033931732178
