relative_time,DecibelSource,AccX,AccY,AccZ
0,,,4.738125324249268,
1,,-0.2298433631658554,,9.334992408752441
23,34.61883698691416,,,
70,,-0.13766659796237946,5.184643745422363,7.638700485229492
104,33.63420574195394,,,
135,,-0.48602294921875,5.061342239379883,8.220491409301758
184,33.666651893724406,,,
194,,-0.43933600187301636,5.058948040008545,7.770381450653076
264,32.39019601806463,,,
268,,-0.9911994934082031,5.172672748565674,7.179013729095459
325,,,5.039794445037842,
326,,-0.9756371974945068,,8.49941635131836
344,33.37215559695734,,,
394,,-1.1073182821273804,4.89494514465332,8.501810073852539
424,33.70362664981218,,,
476,,,3.847482204437256,
477,,-1.9752163887023926,,9.313444137573242
504,31.997825633709375,,,
531,,-2.05781626701355,3.070563793182373,8.189367294311523
584,35.719230946337326,,,
593,,-1.3012486696243286,2.3475148677825928,8.941145896911621
664,32.766630762437686,,,
672,,-2.474407434463501,2.2421698570251465,
673,,,,8.001421928405762
741,,,3.8067808151245117,
742,,-1.015141487121582,,7.920019149780273
744,33.65264012858924,,,
801,,-1.1504138708114624,4.010287761688232,9.59596061706543
843,32.81900843111814,,,
856,,-2.7545289993286133,3.640383720397949,7.536946773529053
923,,,4.60165548324585,
924,34.407457712076045,0.14365209639072418,,6.84981107711792
987,,-2.2206220626831055,4.37420654296875,8.32104778289795
1003,36.30628123842923,,,
1084,34.89205516792876,,,
1088,,-1.3922282457351685,5.147533416748047,9.712079048156738
1121,,-0.8930372595787048,5.843049049377441,8.471882820129395
1163,36.59821396747529,,,
1200,,0.46088382601737976,5.145139217376709,10.462661743164062
1244,35.571171827614016,,,
1278,,2.2409727573394775,6.445190906524658,10.528501510620117
1321,,0.5219359993934631,3.6332011222839355,8.989029884338379
1323,34.378692459298236,,,
1387,,-2.9269115924835205,1.745373010635376,7.223306655883789
1403,35.000017958617384,,,
1465,,,3.1220390796661377,
1466,,0.36152446269989014,,5.849034786224365
1483,34.16319713774777,,,
1524,,,3.9181110858917236,
1525,,2.4001872539520264,,11.182119369506836
1564,35.38836692873848,,,
1599,,,6.065710067749023,
1600,,2.765302896499634,,6.332663536071777
1644,34.31595866204748,,,
1664,,2.9735984802246094,5.602431774139404,10.465055465698242
1723,,3.845088005065918,5.104437828063965,8.56765079498291
1724,34.0653989531406,,,
1802,,2.492363929748535,4.259284973144531,9.10874080657959
1804,34.805170266174926,,,
1865,,3.360262155532837,3.6535518169403076,8.392873764038086
1884,34.58138401471813,,,
1926,,4.461595058441162,1.4700398445129395,11.224017143249512
1964,35.11789952267012,,,
1991,,,1.7633295059204102,
1992,,2.0470423698425293,,6.320692539215088
2044,33.75896158428131,,,
2081,,5.646724700927734,0.39624038338661194,6.04775333404541
2133,,2.918531894683838,4.005499362945557,5.237316131591797
2144,35.796656892021815,,,
2199,,4.428076267242432,3.4093432426452637,2.6839001178741455
2224,32.75604970257739,,,
2278,,2.213439464569092,3.755305290222168,4.072536945343018
2304,33.807650158639774,,,
2335,,4.062960147857666,2.734178304672241,10.460267066955566
2384,34.59135038870747,,,
2388,,2.940079689025879,3.5158851146698,
2389,,,,9.716867446899414
2464,42.39405598104092,,,
2465,,3.4584243297576904,2.273294448852539,9.782708168029785
2531,,4.200626850128174,0.6141127347946167,11.59631633758545
2544,34.36613648812754,,,
2603,,1.8938134908676147,-2.0183119773864746,7.407660007476807
2624,34.02643889898698,,,
2660,,3.7840356826782227,-5.464765548706055,5.767632007598877
2704,34.75696152277192,,,
2732,,6.156689643859863,-7.198167324066162,3.6954503059387207
2783,36.97604509684394,,,
2798,,7.894880294799805,-9.524134635925293,3.4105403423309326
2864,35.52870841495191,,,
2865,,13.801375389099121,-7.657854080200195,2.52109432220459
2934,,,-8.491036415100098,
2935,,13.810952186584473,,3.5398271083831787
2943,33.80206091704653,,,
2995,,12.154165267944336,-5.558139324188232,-0.9241618514060974
3023,36.071679957862095,,,
3053,,6.773196697235107,-12.733561515808105,
3054,,,,1.533486247062683
3103,37.89193662026436,,,
3120,,7.845798969268799,-8.62511157989502,-2.1057004928588867
3183,41.34785923253762,,,
3188,,1.6280571222305298,-12.931083679199219,5.294776916503906
3253,,,-11.437101364135742,
3254,,0.304063618183136,,-0.4836287498474121
3263,40.469672977065905,,,
